"Timestamp","Stimmen Ihre Vorkenntnisse mit der Definition überein?","Wie häufig benutzen Sie Open Source Software?","Browser [Safari]","Browser [Chrome]","Browser [Opera]","Browser [Firefox]","Browser [Chromium]","Betriebssysteme [Windows]","Betriebssysteme [Linux]","Betriebssysteme [iOS]","Betriebssysteme [macOS]","Betriebssysteme [Android]","Webanwendungen [ownCloud / NextCloud]","Webanwendungen [Moodle]","Webanwendungen [Wikipedia]","Desktopanwendungen [VLC]","Desktopanwendungen [Photoshop]","Desktopanwendungen [Microsoft Office]","Desktopanwendungen [LaTeX]","Desktopanwendungen [7-Zip]","Desktopanwendungen [Windows Media Player]","Desktopanwendungen [Thunderbird]","Desktopanwendungen [GIMP]","Desktopanwendungen [Open- / LibreOffice]","Desktopanwendungen [WinRAR]","Computerspiele [World of Warcraft]","Computerspiele [Superhot]","Computerspiele [Firewatch]","Computerspiele [Skyrim]","Computerspiele [Counter-Strike]","Computerspiele [FarCry]","Computerspiele [Subnautica]","Computerspiele [Assassins Creed]","Computerspiele [Portal]","Computerspiele [League of Legends]","Computerspiele [Half Life]","Weshalb benutzen Sie Open Source Software?","Welche sind Ihrer Meinung nach die wichtigsten Gründe für Unternehmen Open Source Software einzusetzen?","Was beschreibt Ihre aktuelle Tätigkeit am ehesten?","Wie würden Sie Ihre Computerkenntnisse einschätzen?"
"2018/02/13 6:30:52 PM GMT+1","Ja","4","","","","Benutze ich;Open Source","","Benutze ich","Benutze ich;Open Source","","","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","","Benutze ich","Benutze ich;Open Source","Benutze ich","Benutze ich","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","","Benutze ich","","","","","","","","","","","Kostenlos, demokratisch, Openess","Offene Standards;Kosteneinsparungen;Sicherheit","Arbeitstätig","4"
"2018/02/15 9:57:59 PM GMT+1","Nein","2","Benutze ich","Benutze ich","Open Source","","Open Source","Benutze ich","Open Source","Benutze ich","Benutze ich","","Benutze ich","Open Source","Benutze ich","Benutze ich","Benutze ich","","Benutze ich;Open Source","Benutze ich;Open Source","","","Open Source","","","","","Benutze ich","","","Benutze ich","Benutze ich","Benutze ich","Benutze ich","","Benutze ich","kostenfrei, Anpassbar, Communitysupport","Kosteneinsparungen;Unabhängigkeit;Anpassbarkeit","Student","5"
"2018/02/21 8:37:30 PM GMT+1","Ja","4","Open Source","Benutze ich;Open Source","Open Source","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich","Benutze ich;Open Source","","Open Source","Benutze ich;Open Source","Open Source","Benutze ich","Benutze ich;Open Source","","","Benutze ich","","Benutze ich;Open Source","","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","","","","","","","Benutze ich","","","Benutze ich;Open Source","Benutze ich","","Kostenlos, Frei, Verifizierbar","Community;Sicherheit;Transparenz","Student","5"
"2018/02/21 8:39:14 PM GMT+1","Größtenteils","4","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","","Benutze ich;Open Source","Benutze ich;Open Source","","Benutze ich;Open Source","Benutze ich;Open Source","","Benutze ich","","","Benutze ich;Open Source","","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","","","","","","","","","Benutze ich","","Benutze ich","","Praktisch, Günstig, Nützlich","Unabhängigkeit;Sicherheit;Transparenz","Arbeitstätig","5"
"2018/02/21 8:43:22 PM GMT+1","Ja","4","","Benutze ich","","Benutze ich;Open Source","Open Source","","Benutze ich;Open Source","Benutze ich","Benutze ich","Benutze ich;Open Source","Open Source","Open Source","Open Source","Benutze ich;Open Source","","","Open Source","Open Source","","Benutze ich;Open Source","Benutze ich;Open Source","Open Source","","","","","","","","","","","","","funktioniert, kostenlos, mit pacman installierbar","Offene Standards;Community;Innovation","Student","5"
"2018/02/21 8:53:12 PM GMT+1","Ich kannte den Begriff nicht","1","","Benutze ich;Open Source","","Benutze ich;Open Source","","Benutze ich","","","","Benutze ich","","","","","","Benutze ich;Open Source","","","","","","","","","","","","","","","","","","","Keine Ahnung, immer noch nicht verstanden was es ist, hilfee","Offene Standards;Kosteneinsparungen;Mitarbeitende","Schüler","2"
"2018/02/21 8:53:13 PM GMT+1","Größtenteils","4","Benutze ich","Benutze ich","Open Source","","Open Source","Benutze ich","Open Source","Benutze ich","Benutze ich","","","","Benutze ich;Open Source","Benutze ich","Benutze ich","","Benutze ich;Open Source","Open Source","","Open Source","","Open Source","","","","","","Open Source","","","","","Open Source","","Häufig Kostenlos, teilweise mehr Funktionen als normale Programme, jeder kann mitmachen","Kosteneinsparungen;Unabhängigkeit;Anpassbarkeit","Schüler","5"
"2018/02/21 8:53:32 PM GMT+1","Größtenteils","4","","","Benutze ich","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich","Benutze ich;Open Source","","","Benutze ich;Open Source","Open Source","","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich","Benutze ich","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich","Benutze ich;Open Source","Open Source","Benutze ich;Open Source","","","","","Benutze ich","","","","","","Benutze ich","","Kostengünstig, anpassbar, sicher","Kosteneinsparungen;Sicherheit;Anpassbarkeit","Student","6"
"2018/02/21 8:53:36 PM GMT+1","Größtenteils","2","","Benutze ich","","Benutze ich","Open Source","Benutze ich","Benutze ich;Open Source","","","Benutze ich;Open Source","","","Benutze ich;Open Source","Benutze ich;Open Source","","Benutze ich","","Benutze ich;Open Source","Benutze ich","","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich","","","Benutze ich","","","","Open Source","","Benutze ich","Benutze ich","Benutze ich","Nützlich, Kostenlos, verständlich ","Community;Sicherheit;Anpassbarkeit","Schüler","4"
"2018/02/21 8:54:57 PM GMT+1","Nein","4","Benutze ich","","","Benutze ich;Open Source","","Benutze ich","","Benutze ich","","","","","Benutze ich","","","","","Benutze ich;Open Source","","","Benutze ich;Open Source","","","","","","Benutze ich","Benutze ich","","","","Benutze ich","Benutze ich","","Kostenlos,?,?","Community;Unabhängigkeit;Transparenz","Student","5"
"2018/02/21 8:55:37 PM GMT+1","Ja","3","","Benutze ich","","Benutze ich","Open Source","Benutze ich","Benutze ich;Open Source","","","Benutze ich","","Benutze ich","Benutze ich","Benutze ich;Open Source","Benutze ich","Benutze ich","Benutze ich;Open Source","Benutze ich;Open Source","","Benutze ich","","Open Source","Benutze ich","","","","Benutze ich","Benutze ich","Benutze ich","","Benutze ich","Benutze ich","Benutze ich","Benutze ich","Zufall, alternativlos, schön","Kosteneinsparungen;Unabhängigkeit;Transparenz","Student","5"
"2018/02/21 8:58:18 PM GMT+1","Ich kannte den Begriff nicht","1","","","","","","Benutze ich","Open Source","Benutze ich","","","","","Open Source","","","Benutze ich","Open Source","Benutze ich","Benutze ich","","","","","","","","","","","","","","","","Keine Ahnung, Keine Ahnung, Keine Ahnung","Community;Transparenz;Innovation","Schüler","3"
"2018/02/21 8:59:09 PM GMT+1","Größtenteils","2","Benutze ich","Benutze ich","","","","Benutze ich","","Benutze ich","","","","Benutze ich;Open Source","Benutze ich;Open Source","","Benutze ich","Benutze ich","","","Benutze ich","","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich","","","","","","","","","","","","Kostenlos, Transparant, Frei","Kosteneinsparungen;Unabhängigkeit;Transparenz","Student","4"
"2018/02/21 9:01:50 PM GMT+1","Größtenteils","4","","","Open Source","Benutze ich;Open Source","Open Source","","Open Source","","","Benutze ich;Open Source","Open Source","Open Source","Open Source","Open Source","","Benutze ich","","","","Open Source","Open Source","Open Source","","","","","","","","","","","","","Abeit, Anpassbarkeit, open standard","Offene Standards;Community;Transparenz","Arbeitstätig","5"
"2018/02/21 9:05:03 PM GMT+1","Größtenteils","2","Benutze ich","Open Source","Open Source","Benutze ich","","Benutze ich","Open Source","Benutze ich","","Open Source","","Benutze ich;Open Source","Benutze ich;Open Source","","","","Open Source","","","Open Source","Open Source","Open Source","","","","","","","","","","","","","Hat keinen speziellen Grund, bla, blub ","Community;Anpassbarkeit;Innovation","Student","4"
"2018/02/21 9:06:30 PM GMT+1","Ja","2","","Benutze ich","","Benutze ich;Open Source","","Benutze ich","Open Source","","","Benutze ich;Open Source","","Benutze ich","Benutze ich;Open Source","","","Benutze ich","Benutze ich;Open Source","","Benutze ich","","Benutze ich;Open Source","","Benutze ich;Open Source","","","","","","","","","","","","kostenlos, freizugänglich, weils funktioniert","Community;Unabhängigkeit;Mitarbeitende","Dualer Student","5"
"2018/02/21 9:07:12 PM GMT+1","Größtenteils","2","","Benutze ich","Open Source","Open Source","","Benutze ich","Open Source","","","Benutze ich","","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","","","","Benutze ich","","","Open Source","Benutze ich;Open Source","","","","","Open Source","Benutze ich","Benutze ich","Benutze ich","","Benutze ich","","Open Source","Kostenlos, Anpassbar, Transparent","Community;Unabhängigkeit;Anpassbarkeit","Student","5"
"2018/02/21 9:08:45 PM GMT+1","Ja","4","","","","Benutze ich;Open Source","Open Source","Benutze ich","Benutze ich;Open Source","","","Benutze ich;Open Source","Open Source","","","","","","Benutze ich;Open Source","","","Benutze ich;Open Source","","","","","","","","","","","","","","","Sicherheit, Kostenfrei, Transparenz ","Offene Standards;Sicherheit;Transparenz","Student","6"
"2018/02/21 9:09:43 PM GMT+1","Ja","3","","","","Benutze ich;Open Source","Open Source","Benutze ich","Open Source","","","","","Benutze ich","Benutze ich;Open Source","Benutze ich;Open Source","","Benutze ich","","Benutze ich","Benutze ich","Benutze ich;Open Source","","Benutze ich;Open Source","","","","","","","","","","","","","frei, manchmal besser, ","Kosteneinsparungen;Unabhängigkeit;Anpassbarkeit","Student","6"
"2018/02/21 9:10:31 PM GMT+1","Größtenteils","1","","Benutze ich","","Open Source","Open Source","","Open Source","","","Benutze ich;Open Source","Open Source","Benutze ich","Benutze ich;Open Source","Benutze ich;Open Source","","Benutze ich","Benutze ich;Open Source","","Benutze ich","Open Source","Open Source","Open Source","Benutze ich;Open Source","","","","","","","","","","","","kostenfrei, innovativ, unabhängig","Kosteneinsparungen;Unabhängigkeit;Anpassbarkeit","Student","4"
"2018/02/21 9:10:43 PM GMT+1","Ja","4","","Benutze ich","Open Source","","Open Source","Benutze ich","Open Source","","","Benutze ich;Open Source","","Benutze ich","Benutze ich","Benutze ich","","Benutze ich","Benutze ich","","","","Benutze ich","Benutze ich;Open Source","","","","","Benutze ich","","Benutze ich","","Benutze ich","","","","kostenlos, funktioniert, fast genauso wie vergleichbare programme","Kosteneinsparungen;Unabhängigkeit;Anpassbarkeit","Student","5"
"2018/02/21 9:11:18 PM GMT+1","Größtenteils","4","","","","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich","Benutze ich;Open Source","Benutze ich","","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","","Benutze ich","Benutze ich;Open Source","Benutze ich;Open Source","","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","","","","","Benutze ich","Benutze ich","","","Benutze ich","Benutze ich","","","Freiheit, Datenschutz, Kosten","Kosteneinsparungen;Unabhängigkeit;Sicherheit","Dualstudent","6"
"2018/02/21 9:12:19 PM GMT+1","Größtenteils","2","","Benutze ich","","Open Source","","Benutze ich","Open Source","Benutze ich","","Open Source","","","","","","Benutze ich","","","","Open Source","","Open Source","","","","","","","","","","","","","kostenlos, transparent, einfach","Offene Standards;Unabhängigkeit;Transparenz","Student","2"
"2018/02/21 9:12:54 PM GMT+1","Größtenteils","4","Benutze ich","Benutze ich","Benutze ich;Open Source","Benutze ich","","Benutze ich","Benutze ich;Open Source","Benutze ich","","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich","Benutze ich","Benutze ich","Benutze ich","Benutze ich;Open Source","","Benutze ich","","","Benutze ich;Open Source","Benutze ich","","","","","","","","","","","","Komische, Frage, !","Community;Kosteneinsparungen;Anpassbarkeit","Student","5"
"2018/02/21 9:14:24 PM GMT+1","Ich kannte den Begriff nicht","1","Benutze ich","","","","","","","Benutze ich","Benutze ich","","","","Benutze ich","Benutze ich","","","","","","","","","","","","","","","","","","","","","Keine Ahnung, keine Ahnung, keine Ahnung ","Kosteneinsparungen;Unabhängigkeit;Sicherheit","Schüler","1"
"2018/02/21 9:14:34 PM GMT+1","Teilweise","1","Benutze ich","Benutze ich","Open Source","Benutze ich","Open Source","Benutze ich","Open Source","Benutze ich","Benutze ich","","Open Source","Benutze ich;Open Source","Benutze ich;Open Source","","Benutze ich","Benutze ich","","Open Source","Benutze ich","","","Open Source","","","","","","","","","","","","","Innovativ, kreativ, sozial","Kosteneinsparungen;Unabhängigkeit;Anpassbarkeit","Arbeitstätig","4"
"2018/02/21 9:17:53 PM GMT+1","Größtenteils","4","","","","","","Benutze ich","Open Source","","","Benutze ich","","Benutze ich","Benutze ich","Benutze ich","Benutze ich","Benutze ich","Open Source","Benutze ich;Open Source","Benutze ich","","Open Source","Benutze ich;Open Source","","","","","","Open Source","Benutze ich","","Benutze ich","Benutze ich","","Benutze ich","günstig, oft gute Alternative, ..","Offene Standards;Community;Kosteneinsparungen","Student","5"
"2018/02/21 9:24:38 PM GMT+1","Größtenteils","4","Benutze ich","Benutze ich","Open Source","","","Benutze ich","Open Source","Benutze ich","","Benutze ich","","","Benutze ich","Benutze ich","","","","","","","Benutze ich","Benutze ich;Open Source","Benutze ich","","","","Benutze ich","Benutze ich","","","Benutze ich","Benutze ich","Benutze ich","Benutze ich","Funktionalität, Transparenz, Verfügbarkeit","Unabhängigkeit;Sicherheit;Stabilität","Student","4"
"2018/02/21 9:25:18 PM GMT+1","Teilweise","2","Benutze ich","Benutze ich","Open Source","Benutze ich","Open Source","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich","Benutze ich","Benutze ich","Benutze ich;Open Source","","","","","","","","","","","","","","","","","","","","","","Ohne,geht,nicht","Offene Standards;Unabhängigkeit;Transparenz","Student","3"
"2018/02/21 9:29:46 PM GMT+1","Größtenteils","2","Benutze ich","Benutze ich;Open Source","Open Source","Benutze ich;Open Source","Open Source","Benutze ich","Open Source","Benutze ich","Benutze ich","Open Source","Open Source","Benutze ich;Open Source","Benutze ich;Open Source","","Benutze ich","Benutze ich","Benutze ich;Open Source","","Benutze ich","","","","","","","","","","","","","","","","Meist ohne OpenSource, benutzerindividuell, freundlich zu bedienen ","Unabhängigkeit;Anpassbarkeit;Transparenz","Student","4"
"2018/02/21 9:31:55 PM GMT+1","Ja","4","","","","Benutze ich;Open Source","","Benutze ich","Open Source","","","Benutze ich;Open Source","Open Source","Benutze ich","Benutze ich","Benutze ich;Open Source","","Benutze ich","Benutze ich","Benutze ich","Benutze ich","Benutze ich","","Open Source","Benutze ich;Open Source","","","","","","","","","","","","Meistens kostenlos, anpassbar, unabhängig von Herstellern ","Kosteneinsparungen;Unabhängigkeit;Anpassbarkeit","Student","6"
"2018/02/21 9:33:07 PM GMT+1","Ja","4","","Benutze ich","","Benutze ich;Open Source","","Benutze ich;Open Source","Open Source","Open Source","Open Source","Benutze ich;Open Source","","Benutze ich","Benutze ich","Benutze ich","","Benutze ich","","Benutze ich","Benutze ich","Benutze ich","Benutze ich","","","","","","","","","","","","","","Oft Verbreitet, Community, Kostenersparnis","Kosteneinsparungen;Unabhängigkeit;Innovation","Student","5"
"2018/02/21 9:33:49 PM GMT+1","Größtenteils","1","Benutze ich","Benutze ich","Open Source","Benutze ich","Open Source","Benutze ich","Open Source","","","Benutze ich","","Benutze ich","Benutze ich;Open Source","","Benutze ich","Benutze ich","","","Benutze ich","","","","","","","","","","","","","","","","Tue, ich, nicht","Unabhängigkeit;Anpassbarkeit;Mitarbeitende","Arbeitstätig","4"
"2018/02/21 9:36:44 PM GMT+1","Größtenteils","3","Benutze ich","Benutze ich","Open Source","","Open Source","Benutze ich","Benutze ich;Open Source","Benutze ich","","Benutze ich","Benutze ich","Benutze ich","Benutze ich;Open Source","Benutze ich","Benutze ich","Benutze ich","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich","Open Source","Open Source","Open Source","","","","","","Benutze ich","","","Benutze ich","","","","Gut, und, Günstig","Offene Standards;Kosteneinsparungen;Anpassbarkeit","Student","5"
"2018/02/21 9:42:07 PM GMT+1","Größtenteils","4","","Benutze ich","","","","Benutze ich","","","","Benutze ich;Open Source","","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich","Benutze ich","Benutze ich;Open Source","Benutze ich;Open Source","","","Benutze ich;Open Source","","","","","","","","","","","Benutze ich","","","Qualität,Kosten,Datensicherheitt","Kosteneinsparungen;Unabhängigkeit;Sicherheit","Student","5"
"2018/02/21 9:42:15 PM GMT+1","Größtenteils","3","","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","","Benutze ich","","","","Benutze ich;Open Source","","Benutze ich","Benutze ich","","","Benutze ich","","","Benutze ich","","","","","","","","","","","","","","","","Kostenlos, nix, nix","Kosteneinsparungen;Unabhängigkeit;Anpassbarkeit","Student","4"
"2018/02/21 9:50:27 PM GMT+1","Ja","1","Benutze ich","Benutze ich","","Benutze ich;Open Source","","Benutze ich","","Benutze ich","Benutze ich","Benutze ich","","Benutze ich;Open Source","Benutze ich;Open Source","","Benutze ich","Benutze ich","","","","","Benutze ich","","Benutze ich","Benutze ich","","","Benutze ich","Benutze ich;Open Source","Benutze ich","","Benutze ich","Benutze ich","Benutze ich","Benutze ich","hilfreich,günstig,einfach","Offene Standards;Kosteneinsparungen;Anpassbarkeit","Arbeitstätig","4"
"2018/02/21 9:51:06 PM GMT+1","Ja","3","","","","Benutze ich","Open Source","Benutze ich","Open Source","","","Benutze ich;Open Source","","Benutze ich","Benutze ich","Benutze ich","","Benutze ich","","Benutze ich","","Benutze ich","","Open Source","Benutze ich","","Open Source","","Benutze ich","Open Source","","","","Open Source","Benutze ich","Open Source","Günstig, sicher, transparent","Community;Sicherheit;Transparenz","Student","6"
"2018/02/21 9:54:34 PM GMT+1","Größtenteils","4","","","","Benutze ich;Open Source","Open Source","Benutze ich","Benutze ich;Open Source","","","Benutze ich","","Benutze ich","Benutze ich;Open Source","Benutze ich","","Benutze ich","","","Benutze ich","Benutze ich;Open Source","Benutze ich;Open Source","","Benutze ich","","","","Benutze ich","Benutze ich","","","","Benutze ich","","","Kostenlos, Sicherheit, Community","Community;Kosteneinsparungen;Sicherheit","Student","5"
"2018/02/21 9:59:27 PM GMT+1","Ja","4","","Benutze ich","Open Source","Benutze ich;Open Source","Open Source","Benutze ich","Open Source","","","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","","Benutze ich","Benutze ich;Open Source","Benutze ich;Open Source","","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich","","","","","","","","","Benutze ich","Benutze ich","","Keine Geheimnisse, Sicherheit, gutes Gefühl","Community;Transparenz;Innovation","Student","6"
"2018/02/21 10:07:34 PM GMT+1","Ja","4","","","Open Source","Benutze ich;Open Source","Open Source","Benutze ich","Open Source","","","Benutze ich","","Benutze ich","Benutze ich;Open Source","Benutze ich","","Benutze ich","Open Source","Benutze ich","Benutze ich","Open Source","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich","","","","Benutze ich","","Benutze ich","","","","","","vertrauen, kosten, verfügbarkeit","Offene Standards;Community;Transparenz","Student","5"
"2018/02/21 10:11:57 PM GMT+1","Größtenteils","4","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","","Benutze ich;Open Source","Open Source","Benutze ich;Open Source","","Benutze ich;Open Source","","Benutze ich","Benutze ich","Benutze ich","Benutze ich","Benutze ich","","Benutze ich;Open Source","Open Source","","Open Source","","Open Source","Benutze ich","","","","","","","","","Benutze ich;Open Source","","Großer Nutzenkreis, viel Hilfestellung im Internet, Verfügbarkeit ","Community;Kosteneinsparungen;Mitarbeitende","Student","4"
"2018/02/22 12:44:47 AM GMT+1","Größtenteils","4","","Benutze ich","Benutze ich","Benutze ich;Open Source","","Benutze ich","Benutze ich;Open Source","","","Benutze ich","","","Benutze ich","","Benutze ich","Benutze ich","","Benutze ich;Open Source","","","","","","","","","Benutze ich;Open Source","Open Source","","","","Benutze ich;Open Source","","Open Source","Anpassbar, Vielseitig, Zeitvertreib","Offene Standards;Anpassbarkeit;Transparenz","Zu alt um es Schüler zu nennen aber rein nach Tätigkeit Schüler","4"
"2018/02/22 6:03:02 AM GMT+1","Ja","3","","","Benutze ich;Open Source","Benutze ich","Open Source","Benutze ich","Benutze ich","","","Benutze ich;Open Source","Benutze ich","","Benutze ich;Open Source","Benutze ich;Open Source","","Benutze ich","","Benutze ich","Benutze ich","","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich","","","","Benutze ich","","","","","Benutze ich","","Benutze ich","vielfältigkeit, kostenlos, offen","Offene Standards;Anpassbarkeit;Mitarbeitende","Schüler","4"
"2018/02/22 7:08:57 AM GMT+1","Ja","1","","Benutze ich","Open Source","Benutze ich","Open Source","Benutze ich","Open Source","","","Benutze ich","Open Source","Benutze ich","Benutze ich;Open Source","","","Benutze ich","","","Benutze ich","","","Open Source","","","","","","","","","","","","","kostenfrei, teilw. besser, ","Community;Kosteneinsparungen;Anpassbarkeit","Student","3"
"2018/02/22 7:09:35 AM GMT+1","Größtenteils","2","","Benutze ich","Open Source","Benutze ich;Open Source","","Benutze ich","Open Source","","","Benutze ich","","Benutze ich","Benutze ich;Open Source","Benutze ich","","Benutze ich","","","Benutze ich","Benutze ich","","Benutze ich;Open Source","Benutze ich","","","","","Benutze ich","","","","","","","Individuell, günstig, ","Kosteneinsparungen;Anpassbarkeit;Innovation","Arbeitstätig","4"
"2018/02/22 7:48:28 AM GMT+1","Teilweise","3","","Benutze ich","Open Source","Open Source","Open Source","Benutze ich","Open Source","","","Benutze ich","","Benutze ich","Benutze ich;Open Source","Benutze ich;Open Source","","Benutze ich","","Benutze ich","","","Open Source","Open Source","Benutze ich","","","","","","","","","","","","kostenfrei, erprobt, einfach","Community;Kosteneinsparungen;Anpassbarkeit","Student","4"
"2018/02/22 7:49:11 AM GMT+1","Größtenteils","4","Benutze ich","Benutze ich","Benutze ich","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich","Benutze ich;Open Source","Benutze ich","Benutze ich","Open Source","Benutze ich;Open Source","","Benutze ich","Benutze ich;Open Source","Benutze ich","","Open Source","Benutze ich","","Benutze ich;Open Source","Open Source","","","","","","","","","","","","","","kostenlos, hilfreich, veränderbar","Offene Standards;Kosteneinsparungen;Transparenz","Arbeitstätig","6"
"2018/02/22 8:05:35 AM GMT+1","Größtenteils","3","Benutze ich","Benutze ich","Open Source","Benutze ich;Open Source","","Benutze ich","Benutze ich;Open Source","Benutze ich","Benutze ich","Open Source","","Benutze ich;Open Source","Benutze ich;Open Source","Open Source","Benutze ich","Benutze ich","Benutze ich;Open Source","Benutze ich","","Open Source","Open Source","Open Source","","","Open Source","","Benutze ich","","","","","Benutze ich;Open Source","Benutze ich","Benutze ich","Günstig, Moral, Verfügbar","Kosteneinsparungen;Unabhängigkeit;Transparenz","Arbeitstätig","5"
"2018/02/22 8:21:59 AM GMT+1","Ja","4","Benutze ich","Benutze ich","Benutze ich","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich","Benutze ich;Open Source","","Benutze ich","Benutze ich;Open Source","Open Source","Open Source","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich","","Benutze ich;Open Source","Benutze ich;Open Source","","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich","","","","","","","","","Benutze ich","","Benutze ich","Sicherer, Besser, Moralischer","Unabhängigkeit;Sicherheit;Transparenz","Arbeitstätig","6"
"2018/02/22 8:29:50 AM GMT+1","Ja","4","Benutze ich;Open Source","","","","","","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","Open Source","","","Benutze ich;Open Source","","","","","","","","","","","","","","","","","","","","","","keine alternative, sicherer, praktisch","Offene Standards;Community;Sicherheit","Arbeitstätig","6"
