"Timestamp","Stimmen Ihre Vorkenntnisse mit der Definition überein?","Wie häufig benutzen Sie Open Source Software?","Browser [Safari]","Browser [Chrome]","Browser [Opera]","Browser [Firefox]","Browser [Chromium]","Betriebssysteme [Windows]","Betriebssysteme [Linux]","Betriebssysteme [iOS]","Betriebssysteme [macOS]","Betriebssysteme [Android]","Webanwendungen [ownCloud / NextCloud]","Webanwendungen [Moodle]","Webanwendungen [Wikipedia]","Desktopanwendungen [VLC]","Desktopanwendungen [Photoshop]","Desktopanwendungen [Microsoft Office]","Desktopanwendungen [LaTeX]","Desktopanwendungen [7-Zip]","Desktopanwendungen [Windows Media Player]","Desktopanwendungen [Thunderbird]","Desktopanwendungen [GIMP]","Desktopanwendungen [Open- / LibreOffice]","Desktopanwendungen [WinRAR]","Computerspiele [World of Warcraft]","Computerspiele [Superhot]","Computerspiele [Firewatch]","Computerspiele [Skyrim]","Computerspiele [Counter-Strike]","Computerspiele [FarCry]","Computerspiele [Subnautica]","Computerspiele [Assassins Creed]","Computerspiele [Portal]","Computerspiele [League of Legends]","Computerspiele [Half Life]","Weshalb benutzen Sie Open Source Software?","Welche sind Ihrer Meinung nach die wichtigsten Gründe für Unternehmen Open Source Software einzusetzen?","Was beschreibt Ihre aktuelle Tätigkeit am ehesten?","Wie würden Sie Ihre Computerkenntnisse einschätzen?"
"2018/02/22 8:31:12 AM GMT+1","Größtenteils","4","Benutze ich","","","Benutze ich;Open Source","","Benutze ich","","Benutze ich","Benutze ich","","","Benutze ich;Open Source","Benutze ich;Open Source","","","","Benutze ich;Open Source","Benutze ich;Open Source","","","Benutze ich;Open Source","Benutze ich;Open Source","","","","","","","","","","","","","kostenlos, Gewohnheit, gut","Kosteneinsparungen;Transparenz;Innovation","Student","5"
"2018/02/22 8:31:46 AM GMT+1","Ja","1","Benutze ich","Benutze ich","","Benutze ich","Open Source","Benutze ich","","Benutze ich","","Open Source","","Benutze ich","Benutze ich","","","Benutze ich","","Benutze ich","","","Open Source","","","","","","","","","","","","","","Benutze, ich nicht, wissentlich","Anpassbarkeit;Transparenz;Innovation","Arbeitstätig","3"
"2018/02/22 8:41:25 AM GMT+1","Ja","3","Benutze ich","Benutze ich","","Benutze ich","Open Source","Benutze ich","Benutze ich;Open Source","Benutze ich","Benutze ich","Open Source","Benutze ich;Open Source","Benutze ich","Benutze ich","Benutze ich","","Benutze ich","Benutze ich;Open Source","","","","","","Benutze ich","","","","","","","","","","","","""Sicher, unabhängig, Community""","Unabhängigkeit;Anpassbarkeit;Transparenz","Arbeitstätig","5"
"2018/02/22 8:47:17 AM GMT+1","Ja","4","Benutze ich;Open Source","Benutze ich;Open Source","Open Source","Open Source","Open Source","Benutze ich;Open Source","Open Source","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","Open Source","Open Source","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich","Benutze ich","Open Source","","","Open Source","Open Source","Open Source","","","","","","","","","","","","","Schnellere Sofwareentwicklung, SIcherheit, Kontrolle","Kosteneinsparungen;Stabilität;Mitarbeitende","Arbeitstätig","6"
"2018/02/22 9:02:12 AM GMT+1","Größtenteils","2","Benutze ich","Benutze ich","","Benutze ich","","Benutze ich","","","","Benutze ich","","Benutze ich;Open Source","Benutze ich;Open Source","","","","","","Benutze ich","","","","","","","","","","","","","","","","leicht zugänglich, kostenlos, ","Kosteneinsparungen;Unabhängigkeit;Innovation","Student","4"
"2018/02/22 9:10:02 AM GMT+1","Ja","4","","Benutze ich","","Benutze ich","Open Source","Benutze ich","Benutze ich;Open Source","","","Benutze ich","","","Benutze ich;Open Source","Benutze ich","Benutze ich","Benutze ich","Benutze ich;Open Source","Benutze ich","Benutze ich","Benutze ich","Benutze ich;Open Source","","Benutze ich","Benutze ich","","","Benutze ich","Benutze ich","","","","","Benutze ich","Benutze ich","kostenlos, communitydriven, besser als kommerzielle SW","Offene Standards;Community;Innovation","Arbeitstätig","6"
"2018/02/22 9:10:18 AM GMT+1","Größtenteils","2","","Benutze ich","","Benutze ich","Open Source","Benutze ich","Open Source","","","Benutze ich","","","Benutze ich;Open Source","Benutze ich","Benutze ich","Benutze ich","Open Source","","","","","Benutze ich","","","","","","","","","","","","","günstig, variantenreich, kompatibel","Kosteneinsparungen;Anpassbarkeit;Mitarbeitende","Arbeitstätig","4"
"2018/02/22 9:11:22 AM GMT+1","Größtenteils","4","","","","Benutze ich;Open Source","Benutze ich","Benutze ich","Benutze ich;Open Source","Benutze ich","","Benutze ich","","","Benutze ich;Open Source","","","Benutze ich","","Benutze ich;Open Source","","Benutze ich;Open Source","","","","","","","","","","","","","","","Kostenvorteil, Modell, Fehlerfreiheit","Offene Standards;Kosteneinsparungen;Anpassbarkeit","Arbeitstätig","6"
"2018/02/22 9:13:04 AM GMT+1","Teilweise","4","","Benutze ich","","Benutze ich;Open Source","","Benutze ich","","Benutze ich","","Benutze ich","","","Benutze ich;Open Source","","Benutze ich","Benutze ich","","","Benutze ich","","","Benutze ich;Open Source","","","","","","","","","","","","","praktisch, gute Alternative, ","Offene Standards;Kosteneinsparungen;Transparenz","Arbeitstätig","4"
"2018/02/22 9:13:36 AM GMT+1","Ja","4","","Benutze ich","","Benutze ich","Benutze ich;Open Source","","","Benutze ich","Benutze ich","","","Benutze ich;Open Source","","","Benutze ich","","Benutze ich;Open Source","","","","Benutze ich;Open Source","","","","","","","","","","","","","","große Entwickler Gemeinschaft, meistens aktuell, man kann selber eingreifen ","Offene Standards;Kosteneinsparungen;Transparenz","Arbeitstätig","5"
"2018/02/22 9:14:40 AM GMT+1","Teilweise","3","","Benutze ich","","Benutze ich","","Benutze ich","","","","Benutze ich","","","Benutze ich","","Benutze ich","Benutze ich","","Benutze ich","Benutze ich","","","Open Source","","","","","","","","","","","","","kostenlos,praktisch,schnell","Kosteneinsparungen;Unabhängigkeit;Anpassbarkeit","Arbeitstätig","3"
"2018/02/22 9:14:59 AM GMT+1","Ja","4","","Benutze ich","","","Open Source","","Benutze ich;Open Source","","","","","","Benutze ich","","","","","","","Benutze ich","Benutze ich;Open Source","Benutze ich;Open Source","","Benutze ich","","","","","","","","","","","Große Community, Auswahl, ","Offene Standards;Kosteneinsparungen;Anpassbarkeit","Arbeitstätig","5"
"2018/02/22 9:15:16 AM GMT+1","Ja","4","","Benutze ich;Open Source","","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich","Benutze ich;Open Source","","Benutze ich","Benutze ich;Open Source","","","","","","","Benutze ich;Open Source","Benutze ich","","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","","","","","","","","","","","","","Unabhängigkeit, Innovation, Kosten","Offene Standards;Unabhängigkeit;Sicherheit","Arbeitstätig","6"
"2018/02/22 9:15:20 AM GMT+1","Teilweise","1","","Benutze ich;Open Source","","Benutze ich;Open Source","","Benutze ich","","","","Benutze ich;Open Source","","","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich","Benutze ich","","Benutze ich;Open Source","","","Benutze ich;Open Source","","","","","","","","","","","","Benutze ich;Open Source","","schneller zugriff, for free, ","Kosteneinsparungen;Unabhängigkeit;Anpassbarkeit","Arbeitstätig","3"
"2018/02/22 9:16:22 AM GMT+1","Teilweise","4","","","","Benutze ich;Open Source","","Benutze ich","","Benutze ich","Benutze ich","Benutze ich","","","Benutze ich","","","Benutze ich","","Benutze ich;Open Source","","","","","","","","","","","","","","","","","- leicht zugänglich, meistens kostenlos, zuverlässig","Community;Anpassbarkeit;Innovation","Arbeitstätig","3"
"2018/02/22 9:16:39 AM GMT+1","Ja","4","Open Source","Benutze ich;Open Source","Open Source","Benutze ich;Open Source","Open Source","Benutze ich;Open Source","Open Source","Benutze ich;Open Source","Open Source","Open Source","Open Source","Benutze ich;Open Source","Benutze ich;Open Source","Open Source","Open Source","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","Open Source","Open Source","Open Source","Open Source","Open Source","Open Source","Open Source","Open Source","Open Source","Open Source","Benutze ich;Open Source","Open Source","Open Source","Benutze ich;Open Source","Open Source","Open Source","Kostenlos, Funktionsbereitstellung, Zielorientierung","Offene Standards;Kosteneinsparungen;Innovation","Student","5"
"2018/02/22 9:18:53 AM GMT+1","Teilweise","2","Benutze ich","Benutze ich","","Benutze ich;Open Source","","Benutze ich","","Benutze ich","","","","","Benutze ich;Open Source","","","Benutze ich","","","Benutze ich","","","Benutze ich;Open Source","","","","","","","","","","","","","TeilweiseKostenfrei, Keine Ahnung, Keine Ahnung","Kosteneinsparungen;Innovation;Mitarbeitende","Schüler","4"
"2018/02/22 9:24:23 AM GMT+1","Ja","1","Benutze ich","Benutze ich","","Benutze ich","","","Open Source","Benutze ich","Benutze ich","Open Source","","","Benutze ich","","","Benutze ich","","","","","","Open Source","","","","","","","","","","","","","Prinzip, Weiterentwicklung, ","Kosteneinsparungen;Transparenz;Innovation","Arbeitstätig","2"
"2018/02/22 9:27:08 AM GMT+1","Ja","4","Benutze ich","Benutze ich","","Benutze ich;Open Source","Benutze ich;Open Source","","Benutze ich;Open Source","Benutze ich","Benutze ich","Benutze ich","","","Benutze ich","Benutze ich;Open Source","","","Open Source","Open Source","","Open Source","Benutze ich;Open Source","Benutze ich;Open Source","","","","","","","","","","","","","Stabilität, Sicherheit, Kosten","Offene Standards;Kosteneinsparungen;Mitarbeitende","Arbeitstätig","5"
"2018/02/22 9:28:08 AM GMT+1","Ja","4","Benutze ich","Benutze ich;Open Source","Open Source","Benutze ich;Open Source","Open Source","Benutze ich","Benutze ich;Open Source","Benutze ich","","Benutze ich;Open Source","Benutze ich;Open Source","Open Source","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich","Benutze ich","Open Source","Benutze ich;Open Source","Benutze ich","Benutze ich;Open Source","Open Source","Open Source","Open Source","","","","","","","","","","","","günstig, offen, anpassbar","Offene Standards;Anpassbarkeit;Innovation","Arbeitstätig","5"
"2018/02/22 9:28:33 AM GMT+1","Größtenteils","4","","Benutze ich","","Benutze ich;Open Source","Open Source","Benutze ich","","Benutze ich","","Benutze ich","Benutze ich;Open Source","","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich","Benutze ich","","Benutze ich","","Benutze ich;Open Source","","Benutze ich;Open Source","","","","","","","","","","","","","Kosten,Sicherheit,Transparenz","Offene Standards;Kosteneinsparungen;Innovation","Arbeitstätig","5"
"2018/02/22 9:29:04 AM GMT+1","Ja","4","","Benutze ich","","Benutze ich","Benutze ich;Open Source","Benutze ich","Benutze ich;Open Source","Benutze ich","Benutze ich","Benutze ich;Open Source","Benutze ich;Open Source","","Benutze ich","Benutze ich;Open Source","","Benutze ich","","Benutze ich","","Benutze ich","Benutze ich;Open Source","Benutze ich","","","","","","","","","","Benutze ich","","Benutze ich","kostenlos, Funktionalität, Quellcode","Community;Kosteneinsparungen;Anpassbarkeit","Arbeitstätig","6"
"2018/02/22 9:34:56 AM GMT+1","Ja","4","Benutze ich","Benutze ich","Benutze ich;Open Source","Benutze ich;Open Source","Open Source","","Open Source","Benutze ich","Benutze ich","Open Source","Open Source","Open Source","Benutze ich;Open Source","Benutze ich;Open Source","","","Open Source","Benutze ich;Open Source","","Open Source","Open Source","Open Source","","","","","","","","","","","","","oft kostenlos, transparent, sympathisch","Offene Standards;Kosteneinsparungen;Transparenz","Arbeitstätig","5"
"2018/02/22 9:36:17 AM GMT+1","Ja","3","","Benutze ich","","Benutze ich","Benutze ich","Benutze ich","Benutze ich","","","Benutze ich","","","Benutze ich","","Benutze ich","Benutze ich","","Benutze ich","Benutze ich","Benutze ich","Benutze ich","Benutze ich","Benutze ich","","","","","","","","","","","","Anwendungsnutzen, Preis, Verfügbarkeit ","Offene Standards;Kosteneinsparungen;Unabhängigkeit","Arbeitstätig","4"
"2018/02/22 9:39:00 AM GMT+1","Größtenteils","4","Benutze ich","","","Benutze ich;Open Source","Benutze ich","","Benutze ich;Open Source","","Benutze ich","Benutze ich","","","Benutze ich","Benutze ich;Open Source","","","","","","Benutze ich;Open Source","","Benutze ich;Open Source","","","","","","","","","","","","","Community, Anti-Kommerz, Weltanschauung","Kosteneinsparungen;Sicherheit;Stabilität","Arbeitstätig","5"
"2018/02/22 9:39:14 AM GMT+1","Teilweise","3","","Benutze ich","","Benutze ich;Open Source","","Benutze ich","Open Source","","","Benutze ich;Open Source","","","Open Source","Benutze ich","Benutze ich","Benutze ich","","Benutze ich","","","Open Source","Open Source","","Benutze ich","Benutze ich","Benutze ich","Benutze ich","Benutze ich","Benutze ich","Benutze ich","Benutze ich","Benutze ich","","Benutze ich","gratis, offen für eigene Entwicklungen, ""schlechter"" als nicht open source","Kosteneinsparungen;Unabhängigkeit;Mitarbeitende","Student","5"
"2018/02/22 9:39:30 AM GMT+1","Größtenteils","1","Benutze ich","Benutze ich","","","","Benutze ich","","Benutze ich","","Open Source","","Benutze ich","Benutze ich;Open Source","","","","","","","","","Open Source","","","","","","","","","","","","","Kostenlos, Freizugänglich, einfach ","Kosteneinsparungen;Unabhängigkeit;Transparenz","Dualer Student ","5"
"2018/02/22 9:40:56 AM GMT+1","Größtenteils","3","","Benutze ich","","Open Source","Open Source","Benutze ich","Open Source","","","Benutze ich;Open Source","","Benutze ich","Open Source","Benutze ich;Open Source","","Benutze ich","","Benutze ich","","","Benutze ich;Open Source","Open Source","","","","","","","","","Benutze ich","Benutze ich","","","Preis, Community, Unabhängigkeit","Kosteneinsparungen;Anpassbarkeit;Transparenz","Student","4"
"2018/02/22 9:44:00 AM GMT+1","Ja","3","","Benutze ich","","Benutze ich","Open Source","","Benutze ich;Open Source","Benutze ich","Benutze ich","","Open Source","","Open Source","","","Benutze ich","","","","","","Benutze ich;Open Source","Open Source","","","","","","","","","","","","Arbeit,Verwaltung,Privat","Kosteneinsparungen;Anpassbarkeit;Mitarbeitende","Arbeitstätig","5"
"2018/02/22 9:53:34 AM GMT+1","Ja","4","","Benutze ich","","Benutze ich;Open Source","Open Source","Benutze ich","Benutze ich;Open Source","","","Benutze ich;Open Source","","","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich","Benutze ich","Benutze ich;Open Source","Benutze ich","Benutze ich","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich","","","","","","","","","","","","Sicherheit, Community, Kosten","Community;Unabhängigkeit;Stabilität","Arbeitstätig","5"
"2018/02/22 9:56:20 AM GMT+1","Ja","4","","Benutze ich;Open Source","Benutze ich","Benutze ich;Open Source","Benutze ich;Open Source","","Benutze ich;Open Source","","","Benutze ich;Open Source","","","Benutze ich;Open Source","Benutze ich;Open Source","","","","","","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","","","","","","","","","","","","","sicher, günstig, plattformunabhängig","Offene Standards;Unabhängigkeit;Sicherheit","Arbeitstätig","5"
"2018/02/22 10:03:25 AM GMT+1","Ja","4","Benutze ich;Open Source","Open Source","Open Source","Open Source","Open Source","Open Source","Open Source","Benutze ich;Open Source","Benutze ich;Open Source","Open Source","Open Source","Open Source","Benutze ich;Open Source","","","","","Open Source","","","","","","Benutze ich;Open Source","","Benutze ich;Open Source","Benutze ich","Open Source","","","Benutze ich;Open Source","Benutze ich;Open Source","Open Source","Benutze ich;Open Source","Fast überall ist OSS enthalten,  Vertrauen, Sicherheit","Sicherheit;Anpassbarkeit;Transparenz","Arbeitstätig","6"
"2018/02/22 10:22:40 AM GMT+1","Ja","4","Benutze ich","Benutze ich","","Benutze ich;Open Source","","Benutze ich","Benutze ich;Open Source","","","Benutze ich;Open Source","","","Benutze ich;Open Source","","","Benutze ich","","Benutze ich;Open Source","Benutze ich","","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich","Benutze ich","","","Benutze ich","Benutze ich","Benutze ich","","","Benutze ich","Benutze ich;Open Source","","Kostenfrei, offener Quelltext, Transparenz","Offene Standards;Kosteneinsparungen;Anpassbarkeit","Arbeitstätig","5"
"2018/02/22 10:31:42 AM GMT+1","Größtenteils","2","Benutze ich","Benutze ich","","Benutze ich;Open Source","","Benutze ich","","Benutze ich","Benutze ich","Benutze ich;Open Source","","","Benutze ich;Open Source","Benutze ich","","Benutze ich","","Benutze ich;Open Source","","","","Benutze ich;Open Source","Benutze ich","","","","","","","","","","","","Gut, Kostenlos, wurde empfohlen","Community;Kosteneinsparungen;Unabhängigkeit","Arbeitstätig","5"
"2018/02/22 10:36:27 AM GMT+1","Ja","4","Benutze ich;Open Source","Benutze ich;Open Source","","Benutze ich;Open Source","","","","Benutze ich","Benutze ich","","","","Benutze ich;Open Source","","","","","","","","","","","","","","","","","","","","","","Kosten, Sicherheit, Transparenz","Kosteneinsparungen;Anpassbarkeit;Stabilität","Freiberufler","5"
"2018/02/22 10:59:33 AM GMT+1","Ja","4","","Benutze ich","Open Source","Benutze ich;Open Source","","Benutze ich","Open Source","Benutze ich","","Benutze ich","Benutze ich;Open Source","Benutze ich","Benutze ich;Open Source","Benutze ich;Open Source","","Benutze ich","","Benutze ich;Open Source","Benutze ich","Benutze ich;Open Source","Benutze ich","","Benutze ich;Open Source","","","","","","Benutze ich","","Benutze ich","Benutze ich","","","Vertrauen, Sicherheit, Erweiterungen","Kosteneinsparungen;Unabhängigkeit;Transparenz","Arbeitstätig","5"
"2018/02/22 10:59:51 AM GMT+1","Ja","3","","Benutze ich","","Open Source","Open Source","Benutze ich","Open Source","Benutze ich","","","","Benutze ich","Benutze ich;Open Source","Benutze ich","","","Open Source","Benutze ich","","","Benutze ich;Open Source","Open Source","Benutze ich","","","","","","","","","Benutze ich","","Open Source","Keine Gründe, warum ist das hier pflichtfeld?, ","Community;Unabhängigkeit;Transparenz","Student","6"
"2018/02/22 11:15:18 AM GMT+1","Größtenteils","4","","Benutze ich","","Benutze ich;Open Source","Open Source","Benutze ich","Benutze ich;Open Source","","","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich","Benutze ich","Benutze ich;Open Source","Benutze ich;Open Source","","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","","","","","","","","","","","","","Guter Support/Foren, Kostenlos, Kompatibler","Offene Standards;Kosteneinsparungen;Unabhängigkeit","Student","5"
"2018/02/22 11:16:19 AM GMT+1","Größtenteils","2","Benutze ich","","Benutze ich;Open Source","Benutze ich;Open Source","","Benutze ich","Open Source","Benutze ich","Benutze ich","","","Benutze ich","Benutze ich;Open Source","","","Benutze ich","","","Benutze ich","","Benutze ich","","Benutze ich","","","","","","","","","","Benutze ich","","Notwendigkeit, Auswahl, Erfahrung","Community;Anpassbarkeit;Transparenz","Student","3"
"2018/02/22 12:05:56 PM GMT+1","Größtenteils","4","","","","Benutze ich;Open Source","","","Benutze ich;Open Source","","","","","","Benutze ich;Open Source","","","","","","","","Benutze ich;Open Source","Benutze ich;Open Source","","","","Benutze ich","","","","","","Benutze ich","","","Freiheit (FSF), Against Microsoft, Unabhängigkeit","Kosteneinsparungen;Unabhängigkeit;Anpassbarkeit","Arbeitstätig","6"
"2018/02/22 12:22:06 PM GMT+1","Ja","4","","Benutze ich","","Benutze ich","Open Source","Benutze ich","Benutze ich;Open Source","","","Benutze ich","Benutze ich;Open Source","Benutze ich","Benutze ich","Benutze ich","Benutze ich","Benutze ich","Benutze ich","Benutze ich","","","","Open Source","Benutze ich","","","","","","","","","Benutze ich","","","Kosten, Anpassbarkeit, Sicherheit","Community;Kosteneinsparungen;Transparenz","Student","6"
"2018/02/22 12:37:10 PM GMT+1","Ja","4","","Benutze ich","","Benutze ich","","Benutze ich","Open Source","","","Benutze ich;Open Source","","Benutze ich","Benutze ich;Open Source","","","Benutze ich","","","Benutze ich","","Open Source","","Benutze ich;Open Source","","","","","","","","Benutze ich","","","","sicher, billig, gut","Offene Standards;Sicherheit;Innovation","Student","3"
"2018/02/22 1:11:40 PM GMT+1","Ja","4","","Open Source","","Benutze ich;Open Source","Open Source","Benutze ich","Benutze ich;Open Source","","","Benutze ich","","","Benutze ich;Open Source","Open Source","","","Open Source","Benutze ich;Open Source","","Open Source","Benutze ich;Open Source","Open Source","","","","","","","","","","Benutze ich","","","free,stable,flexible","Offene Standards;Community;Innovation","Arbeitstätig","6"
"2018/02/22 3:06:35 PM GMT+1","Ja","3","","Benutze ich","","Benutze ich;Open Source","","Benutze ich","Benutze ich;Open Source","","","Benutze ich","Benutze ich;Open Source","Benutze ich","Benutze ich","","Benutze ich","Benutze ich","","Benutze ich","Benutze ich","Benutze ich;Open Source","Benutze ich","Benutze ich;Open Source","","","","","","","","","","","Benutze ich","","Vertrauenswürdigkeit, Sicherheit, Weiterentwicklung","Community;Kosteneinsparungen;Unabhängigkeit","Student","5"
"2018/02/22 4:43:08 PM GMT+1","Ja","4","","Benutze ich","","","Open Source","Benutze ich","Benutze ich;Open Source","","","Benutze ich;Open Source","","Benutze ich","Benutze ich","","","Benutze ich","","","","","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich","","","","","Benutze ich","Benutze ich","","","Benutze ich","","","Kostenlos, Sicher, Transparent","Kosteneinsparungen;Unabhängigkeit;Transparenz","Student","5"
"2018/02/22 4:43:57 PM GMT+1","Größtenteils","3","","Benutze ich","","","","Benutze ich;Open Source","","Open Source","Open Source","Benutze ich;Open Source","","Benutze ich","Benutze ich;Open Source","","","Benutze ich","","","","","","Open Source","","","","","","","","","","","","","?, ?, ?","Community;Transparenz;Innovation","Student","4"
"2018/02/22 5:06:38 PM GMT+1","Ja","4","","Benutze ich","Open Source","Benutze ich;Open Source","","Benutze ich","Open Source","Benutze ich","","","","","Benutze ich;Open Source","Benutze ich","Benutze ich","Benutze ich","","Benutze ich","","","","","Benutze ich","","","","","","","","","","","","kostenlos, kostenlos, kostenlos","Offene Standards;Kosteneinsparungen;Innovation","Arbeitstätig","5"
"2018/02/22 5:33:56 PM GMT+1","Ja","4","Open Source","Benutze ich;Open Source","","Benutze ich;Open Source","Open Source","","Benutze ich;Open Source","","","Open Source","Benutze ich;Open Source","Benutze ich","Benutze ich;Open Source","","Open Source","Open Source","Open Source","","","Benutze ich;Open Source","Open Source","Benutze ich;Open Source","","","","","","","","","","","","","oft besser, teilweise anbassbar, gutes konzept","Offene Standards;Anpassbarkeit;Transparenz","Student","4"
"2018/02/22 5:36:13 PM GMT+1","Ja","4","Benutze ich","Benutze ich","","Benutze ich;Open Source","","Benutze ich","Open Source","Benutze ich","Benutze ich","","","Open Source","Benutze ich;Open Source","Benutze ich;Open Source","","Benutze ich","","Benutze ich;Open Source","","Benutze ich;Open Source","","Open Source","Benutze ich","","","","","","","","","","","","kostenlos, einfach, Testversion","Offene Standards;Community;Kosteneinsparungen","Arbeitstätig","5"
"2018/02/22 7:25:10 PM GMT+1","Ja","3","Benutze ich","","Open Source","Open Source","Open Source","","Open Source","Benutze ich","Benutze ich","Open Source","","","Benutze ich","Open Source","","Benutze ich","Open Source","Open Source","","","Benutze ich;Open Source","Open Source","","","","","","","","","","","","","Kosten, Transparenz, Funktionalität","Offene Standards;Unabhängigkeit;Anpassbarkeit","Student","5"
"2018/02/23 9:27:15 AM GMT+1","Ja","4","","","Open Source","Benutze ich;Open Source","Open Source","Benutze ich","Open Source","","","Benutze ich","Open Source","Benutze ich","Benutze ich;Open Source","Benutze ich","","Benutze ich","Open Source","Benutze ich;Open Source","","Benutze ich;Open Source","Open Source","Open Source","","","","","Benutze ich","","","","Benutze ich","Benutze ich","Benutze ich","","Meist kostenlos, Keine großen Konzerne unterstützen, Open Source unterstützen","Kosteneinsparungen;Anpassbarkeit;Transparenz","Student","5"
"2018/02/23 9:46:38 AM GMT+1","Ja","4","","Benutze ich","","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich","Benutze ich;Open Source","","","Benutze ich;Open Source","Open Source","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich","","Benutze ich","Benutze ich","Benutze ich","","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich;Open Source","","","Benutze ich","","Benutze ich","Benutze ich","Benutze ich","","","Benutze ich","Benutze ich","","free, Philosophie, Vertrauen","Offene Standards;Kosteneinsparungen;Transparenz","Student","5"
"2018/02/23 9:58:38 AM GMT+1","Teilweise","2","","Benutze ich;Open Source","Open Source","Open Source","","Benutze ich;Open Source","Open Source","","","Benutze ich;Open Source","","Benutze ich","Benutze ich","Open Source","","Benutze ich","Open Source","Benutze ich;Open Source","","Open Source","Benutze ich;Open Source","Open Source","","Open Source","","","","","","","","","Open Source","","einfach, verbreitet, schnell","Kosteneinsparungen;Transparenz;Innovation","Student","4"
"2018/02/23 10:44:22 AM GMT+1","Teilweise","2","","","","Benutze ich","","Benutze ich","","","","","","","Benutze ich;Open Source","","","","","Benutze ich;Open Source","Benutze ich","","","Benutze ich;Open Source","Benutze ich;Open Source","","","","","","","","","","","","Kostenlos, einfach, toll","Sicherheit;Anpassbarkeit;Mitarbeitende","Student","4"
"2018/02/23 11:21:47 AM GMT+1","Ja","4","","Benutze ich;Open Source","Open Source","Open Source","Open Source","Benutze ich","Open Source","","","","","Benutze ich","Benutze ich;Open Source","Benutze ich","","Benutze ich","Benutze ich;Open Source","Benutze ich","Benutze ich","","Open Source","Benutze ich;Open Source","","","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich","","","Open Source","Benutze ich","Benutze ich","","Benutze ich","Transparenz, Anpassbarkeit, Weil Software die ich brauche zufällig open-source ist","Community;Anpassbarkeit;Transparenz","Student","5"
"2018/02/26 9:32:08 AM GMT+1","Ja","4","","Benutze ich;Open Source","","Benutze ich;Open Source","","Benutze ich","","","","Benutze ich;Open Source","","","Benutze ich;Open Source","Benutze ich;Open Source","Benutze ich","Benutze ich","","Benutze ich;Open Source","Benutze ich","Benutze ich;Open Source","Benutze ich;Open Source","","","","","","","","","","","","","Benutze ich","Community, Updatefrequenz, Anleitungen","Offene Standards;Kosteneinsparungen;Unabhängigkeit","Arbeitstätig","6"
"2018/02/26 4:42:00 PM GMT+1","Ja","3","Benutze ich","Benutze ich","","Benutze ich;Open Source","","Benutze ich","","Benutze ich","","Benutze ich;Open Source","","Benutze ich","Benutze ich;Open Source","","","Benutze ich","","","","","","Benutze ich;Open Source","","","","","","","","","","","Benutze ich","","Sicherheit, Qualität, Kostenlos","Community;Sicherheit;Transparenz","Arbeitstätig","5"