Kategorie,Privat,Gewerblich
Kosteneinsparungen,0.663865546218487,0.605042016806723
Stabilität,0.243697478991597,0.0420168067226891
Anpassbarkeit,0.19327731092437,0.420168067226891
Sicherheit,0.176470588235294,0.184873949579832
Community,0.168067226890756,0.310924369747899
Transparenz,0.126050420168067,0.361344537815126
Unabhängigkeit,0.0840336134453782,0.394957983193277
Offene Standards,0.0672268907563025,0.378151260504202
Innovation,0.0420168067226891,0.19327731092437
Mitarbeitende,0.0168067226890756,0.109243697478992
Sonstiges,0.739495798319328,0.0